isbreak,41
count_,3
pa,736
sj,111
%ld,522
exit,57
%ld\n,123
is,69
ssd,3
3\n,100
K,365
panduan,199
9,7964
jsq,1
Flag,34
cnt,726
2500,11
cp,37
spp,4
tag,260
50,3242
%s,10836
chang,144
strlen,14221
strcmp,2524
A_STRING,14443
300,2875
w1,186
w2,170
ANOTHER_STRING,3352
150,264
YET_ANOTHER_STRING,2830
str3,288
ANOTHER_POINTER,16715
YET_ANOTHER_POINTER,7157
p3,825
compare,258
local,17
LEN_OF_STH,9483
newline,6
news,33
isalpha,38
%c,5384
strcpy,2024
120,497
word,3432
wordbuff,7
20,2932
ch,2281
target,39
replace,26
%s\n%s,27
len1,1818
len2,1419
len3,61
place,99
ctr,75
ctr1,42
text,88
200,3086
101,3893
s1,4431
strstr,37
NULL,3042
%s%s,701
80,3165
s0,130
s2,3315
s3,454
strcat,303
puts,660
Size,12
feof,3
stdin,30
%s\n,2794
buf,65
tmp,1388
getline,1713
templen,18
buffer,69
1024,53
current,32
buffer_len,2
buffer_ptr,5
buffer_end,2
current_ptr,6
swap,282
strncpy,124
32,1892
Strlwr,2
110,819
replaced,10
inputL,8
replacedL,5
pL,10
start,692
Z,1784
z,2349
CONVERT,1
B,6331
sr,132
wrd,6
wod,16
wd,68
aim,8
tword,10
EOF,511
30,14696
ls,230
la,1227
bijiao,55
102,796
240,4
sscanf,12
len_str,10
len_a,70
len_b,55
pos,392
hell,8
word1,108
replaceword,3
words,815
98,29
sen,287
wordi,4
A_POINTER,174
wr,81
ptemp,40
pstr,52
pb,302
lstr,17
lb,856
point,1319
40,1192
from,87
to,185
l0,62
l1,1943
l2,1517
n3,316
flat,7
src,51
MAX,491
temp_count,10
iter,76
256,488
key,120
rep,15
t3,145
l3,71
at,51
templ,9
tempans,13
255,282
strchr,35
?,921
105,502
sub,487
G,1190
I,552
W,223
e,533
b,98
Y,1486
f,290
r,453
temp2,365
name,3875
insertb,4
p4,251
fz,129
cmp,414
lc,81
s_,12
s__,7
wordnum,18
charnum,12
lena,524
posi,11
str4,61
lenb,437
isgraph,1
Input,30
Swap,6
FindWord,12
SwapWord,14
SwapWordLength,15
strLength,18
FindWordLength,17
old,601
new,41
15,664
lenth,314
yuan,45
yao,23
wei,319
yuanlen,3
yaolen,10
weilen,11
buf1,9
buf2,9
buf3,3
strncmp,13
21,600
ps,378
putchar,238
true,120
get,1511
99,484
a,3325
zong,413
row,6853
col,6454
len_s,12
chafor,3
sentence,69
subWord,5
lenOfSen,5
lenOfWord,4
lenOfsubWord,3
left,424
right,295
newString,5
danchi,5
VAR__MIN,6774
max1,958
min1,235
getword,5
103,176
210,49
alen,151
slen,52
blen,127
same,279
repl,3
pre,478
post,15
word_num,20
char_num,4
ini,9
former,96
latter,23
lengths,5
lengtha,69
lengthb,39
lenc,69
typedef,89
ll,102
split,2
string,827
seps,3
\t\n,1
token,5
wordNum,3
strtok,23
sp,122
26,2292
kong,44
na,389
nb,308
nc,91
64,288
Almost,2
platforms,2
developing,2
WebGIS,2
are,6
complex,2
extremely,2
h1,274
daitihuan,8
tihuanwei,8
alter,5
alter0,3
51,236
lensen,10
res,582
nMax,15
map,358
dst,66
length_s,3
length_a,14
length_b,9
128,156
huan,45
Len1,10
Len2,11
Len3,6
WW,5
whole,26
gai,3
begin,328
sour,6
l_1,4
l_2,5
l_3,3
l_4,3
l_5,3
word_length,18
flag_2,3
MoveNext,2
StrWords,2
CheckSame,2
Dis,26
switch,1161
case,11945
default,219
word2,71
q1,500
q2,298
91,411
96,316
123,165
strl,16
al,289
bl,220
2001,11
201,162
L0,8
L1,44
L2,41
out_i,6
tar,4
65,1043
startp,5
endp,9
cur_c,7
aword,6
bword,6
pc,70
pd,248
lens,105
1001,844
ns,105
lenth1,26
lenthw1,3
lenthw2,4
wordnew,4
olds1,6
zifu,157
xc,33
16,165
22,151
%c\0,1
zfc,1981
d1,1545
e1,367
kongzhi,4
danci,63
yaotihuan,3
tihuan,12
bt,21
299,68
PI,438
sun,78
sum,2
X,474
Q,442
orig,3
tran,59
499,41
jianyan,3
count_jianyan,4
l_sub,5
gl,19
999,480
c1,1513
c2,1011
c3,98
ll2,6
%c\n,705
25,729
in,666
zfc2,67
lenall,3
peek,15
length,1442
yc,28
equal,36
lab,36
zhao,78
p0,556
space,96
strd,3
strb,49
subed,6
d2,1335
wz,46
dd,243
sl,142
WORD,2
numOfWords,4
sold,9
snew,6
by,79
rem,140
isWords,1
first,662
second,498
str0,21
cl,121
maxLenth,4
maxwords,2
fw,18
tw,26
hh,83
VAR__HEAD,6137
202,32
juzi,32
9999,173
danci1,5
danci2,3
length1,170
length2,134
pointer,123
ex,135
D,2298
s4,147
node,443
one,112
nowword,4
SourceStr,6
ToReplaceStr,3
Replacement,3
Str,24
WordIndex,6
LetterIndex,4
hang,471
lie,478
\t,6
\r,4
ci1,3
ci2,3
st,999
match,139
90,1271
st1,48
st2,41
stc,9
wrd1,3
wrd2,3
wrdd,7
T,1508
C,6219
pp,589
Sen,5
exchange,58
iflet,2
ori,102
pori,13
pout,1
pin,66
subword,9
nw,16
FLAG,8
vest,1
203,3
wordlen,25
replen,2
zf1,20
zfa,7
zfb,4
LEN1,5
bth,4
th,73
p_end,18
p_in,10
p_cyc,1
abs,302
memcpy,63
targ,5
subs,16
word_in,19
word_tr,5
word_out,7
word_fil,6
lg1,6
lg2,17
lg3,11
lg4,3
199,23
11000,8
cur,76
Data,17
Word_1,4
Word_2,4
get_data,3
104,37
nr,13
nf,74
temp1,443
tail,231
part,49
full,21
diff2,3
partlen,7
fulllen,4
which,23
400,4121
write,18
read,168
lone,5
ltwo,13
lthree,2
shuzu,516
zsz,13
word_a,3
word_b,3
word_i,15
word_j,12
sum1,1124
chStr,10
iLen,4
instead1,3
instead2,4
countS2,5
newone,7
newword,24
%s%c,9
original,8
test1,20
test2,15
exc,15
cc,410
ch1,293
str5,15
zfcsz,36
t,74
word_1,14
word_2,4
word_1_1,3
voids,11
vstr,3
lenv,9
line,858
Judge,18
Temp,24
Num_of_Origin,8
Start,9
Num_of_Change,5
Num_of_Changed,7
Change,15
Changed,5
Origin,18
maxw,6
maxL,19
sor,8
dec,114
last,360
sprintf,17
copy,34
4000,569
value,122
Vocabulary,14
character,32
Vocabularysize,1
VAR__NEXT,5933
Sentencelength,3
create,205
stra,55
zj,16
strat,10
noo,3
126,8
ai,291
ci,135
di,153
STR,7
nstr,18
ti,49
num1,1887
zf,660
600,186
dc,227
n0,90
cincd,3
coutt,7
q,805
s,968
l,1092
rank,1346
60,5917
zqsl,9
%d\nq,8
%d\nz,8
%d\ns,8
L,532
50\n,10
40\n,11
30\n,9
20\n,11
10\n,79
sum2,1041
sum3,283
person,401
weight,797
tempw,3
tempc,8
sort,832
pointer_1,3
pointer_2,3
pointer_3,3
pointer_4,3
weight_t,2
name_t,2
iz,8
iq,11
il,18
char1,30
%d\n%c,12
a4,203
a5,101
a6,57
a7,45
a8,34
8,4479
per,196
mz,47
mq,27
ms,78
ml,81
tt,280
50\nq,2
40\nz,2
20\ns,2
work,121
num2,1263
num3,161
num4,40
n4,68
cc1,67
cc2,63
cc3,63
xu,39
ming,46
w3,39
w4,37
w,102
sec,321
thi,41
ren,249
x3,259
97,636
J,479
chtemp,13
qq,135
terp,2
lastz,6
lastq,6
lasts,6
lastl,6
condition1,3
condition2,3
condition3,3
age,4029
label,29
tz,55
xs,126
renshu,72
surname,6
tempname,6
qian,246
li,92
z1,329
xs1,2
xs2,2
xs3,2
xs4,2
x4,121
pai,183
zi,118
oemp,3
condition,24
cc0,3
a0,157
b0,102
weigh,11
fout,2
Zw,12
Qw,21
Sw,12
Lw,11
weiz,8
weiq,14
weis,8
weil,7
char_,3
smin,48
smax,85
%d0\n,2
tc,71
data,953
pdata,39
outputdata,12
inputdata,10
del,230
rinputdata,4
outputk,4
y1,3307
y2,3832
y3,74
y4,24
wakaka,2
ohyeah,2
amiddle,3
bmiddle,3
vm,3
cm,39
Name,17
Res,20
m3,213
m4,76
mNum,16
zzz,40
zzzz,3
tmpc,3
70,202
mZ,9
mQ,9
mS,9
mL,8
x,83
cv,3
\nz,2
\nq,2
\ns,2
\nl,2
ta,157
tn,49
qi,363
stu,9829
differ,9
zWeight,7
qWeight,8
sWeight,7
lWeight,6
Wz,8
Wq,8
Ws,8
Wl,7
state,196
z0,8
q0,29
c4,59
sa,292
sb,259
sc,221
zw,10
qw,348
sw,48
lw,162
finish,34
zz,344
zx,33
qx,26
sx,192
lx,27
mweight,9
sn,53
wt,67
rk,20
bskc,3
bski,3
bdx,3
%c%c%c%c,5
wq,27
ws,87
wl,50
C1,29
C2,11
C3,9
d,126
take_ans,2
shuchu,185
weit,19
CC1,11
CC2,11
CC3,8
tnam,3
nam,71
Max,173
i3,354
i4,213
i5,106
student,6249
lqzs,1
cc4,32
kg,23
py,123
static,143
Mz,9
Mq,9
Ms,9
Ml,8
max2,1061
min2,119
MAX1,15
MAX2,23
MIN1,5
MIN2,5
N1,78
N2,69
N3,17
N4,4
m0,61
pd1,6
pd2,9
tname,3
aq,6
pp1,5
pp2,2
pp3,2
year,5917
fo,7
h2,230
h3,24
h4,10
doublesort,2
te,160
max3,245
pingguo,3
%d%d,2648
Num,95
apple,321
qqq,7
sss,9
%ld%ld,31
ava,21
100000000,147
push,7
ping,153
no,1946
divide,104
pg,28
qium,3
resi,5
%lf%lf,45
mm,218
nn,334
jj,523
asdf,7
dropnum,4
monkey,312
conduct,3
fen,97
see,14
Div,3
rest,69
allocate,4
remain,105
loop2,12
getup,3
total,3175
amnt,3
abc,66
%ld%d,1
Capple,2
Nmonkey,10
Nthrow,6
Napple,7
go,82
3000000000,1
def,3
fenpingguo,4
final,331
0f\n,11
app,38
mon,743
plu,18
origin,54
25\n,2
253\n,1
46651\n,1
3109\n,1
3121\n,1
23\n,1
46641\n,1
46636\n,1
46631\n,1
16777209\n,2
INT_MAX,38
qiuyu,3
div_foo,14
cauclute,2
minapple,4
dfs,42
whether,5
allocable,2
%lf,2009
apples,16
monkeys,18
999999999,11
minm,14
Monkey,12
devide,24
sur,6
1000000000,132
yushu,252
2000000,6
sky,2
Sum,173
distribute,2
signed,38
function,103
totalmember,10
lastnumber,5
tf,53
2147483647,26
jisuan,24
boyNum,3
allNum,6
jisuanzhi,3
%u,41
n,809
k,65
not,503
step,251
000000001,8
de,99
xishu,3
msees,5
calculate,47
toy,15
judge_output,4
tp,145
calc,62
fruit,7
isok,5
3109,1
253,30
46651,1
16777209,3
3121,1
23,122
46641,1
46636,1
46631,1
ppow,12
get_n,3
0f,158
extern,30
applesRemain,5
numDouble,4
applesBefore,4
mytry,4
shuo,2
1373741824,1
putapple,4
stop,80
times,442
wa,36
chu,84
fy,78
brk,8
depart,26
cs,318
suc,4
tempa,17
tempb,19
shally,8
houzi,20
cal,200
nummin,9
cas,16
SUM,49
last_apple,5
real,157
now_apple,6
nazou,7
naqian,3
lastnazou,5
share,4
numMonkey,7
numThrowed,8
numRest,7
numApples,3
originNumMonkey,7
jihao,8
floor,95
an,528
cons,6
divide_apple,3
fenpei,3
pseudo_main,2
throw_away,4
divides,4
dis,1257
chek,3
num_mon,7
wrong,23
depth,3
power,75
pro,53
fan,93
monkeyApple,2
10000000,158
getsum,3
take,11
haha,27
Check,6
peach,8
separate_apples,4
calapp,2
amount,273
discard,6
mk,41
100000000000000,1
vampire,3
15000000,1
10000000000,3
0lf,133
leastapple,2
thraway,3
least,14
p,131
Amount,6
MinApp,3
Apple,10
mokey,3
extra,11
truth,38
%f%f,18
f_1,5
f_2,4
applenum,2
10000001,3
Take,2
7000000,3
fei,86
applestay,5
minnum,34
undi,3
k0,25
57,596
48,1890
55,462
122,337
87,224
rr,37
35,1231
log,74
sum10,14
%d%s%d,91
z2,286
form,67
late,7
ten,245
0\n,269
36,820
decimal,41
remainder,77
12000,6
59,442
33,189
size,218
n10,30
toascii,18
40000,25
isdigit,70
islower,15
isupper,15
zhen,121
c,82
E,1738
14,243
g,428
h,86
H,212
17,175
i,678
18,1175
j,55
19,880
m,384
O,168
24,148
P,332
R,249
27,402
28,4193
29,2698
U,129
V,142
31,25193
y,460
34,57
ch2,233
%d%s,154
cifang,18
string1,124
string2,77
zheng,43
zhuan,32
49,85
ben,23
58,272
47,195
turn,129
shuru,276
result1,49
antichange,2
mi,139
%s%s%s,1
atoi,152
i2a,10
0123456789ABCDEFGHIJKLMNOPQRSTUVWXYZ,17
a2i,25
dn1,3
%ld%s%ld,7
1025,3
ia,96
change1,10
numchange,3
shi,167
nlen1,25
9999999,15
shijinzhi,40
weishu,89
abcdefg,1
shang,364
goal,21
msum,31
a_shu,12
b_shu,14
xx,268
yy,210
on,26
chrtoint,2
inttochr,2
tolower,16
Length,16
NUM,114
toDex,3
toB,3
Dn,10
answer,355
toupper,49
sqr,39
yu,445
sout,4
op,66
oplenth,8
cache,24
mod,165
90000,6
fix,6
turn1,7
turn2,2
95,137
39,38
54,17
longa,19
37,77
longc,3
tab,36
nlen,48
tb,124
zh,89
tj,395
intonumber,10
intochar,6
later,8
rechange,4
turntonum,3
l_,4
middle,54
xm,37
1415926,388
26137359,1
3548776,1
82273847,1
tempC,14
inda,9
outda,6
indata,13
lans,16
ddd,24
inbase,6
outbase,12
ld,42
rmap,10
zs1,23
ds,187
bs,195
change2,8
79,151
trans1,5
trans2,5
ji,131
jinzhi1,8
jinzhi2,8
MyStrupr,2
inum,14
cnum,13
42,77
trans,94
shuzhi,2
atoten,2
tentob,2
numb,158
numx,4
s_n,5
n_s,2
800,28
jz1,35
jz2,4
wei1,5
wei2,7
zero,55
nine,2
PUT,5
lala,11
%1c,3
46,63
ten2,3
indec,10
tempdec,5
lt,45
hhh,11
letter,275
tensum,8
a1_,5
ctruth,3
itruth,5
put,59
ab,89
ba,30
%lld,2
mizhi,8
input1,32
input2,30
temp3,29
Rtoten,2
|=,2
0x20,1
0x57,1
shiR,2
change2Dec,4
len_number,11
originBase,10
numberBit,10
position,75
currentBitValue,6
changeDec2NewBase,4
decNumber,14
newBase,14
newNumber,14
bitValue,8
currentBit,8
len_newNumber,6
convertorto10,3
code,46
mf,30
%s%d,146
zhuanhua,5
130,12
reform,2
ln,119
run,227
base1,5
base2,6
nta,6
atn,4
69,34
loe,4
lth,8
ad,107
stack,47
switchToTen,3
n_,13
S10,9
zhuan1,4
zhuan2,4
fim,4
reverse,1037
lenn,8
shurudeshu,16
shijingzhi,7
jingzhi,3
daizhuanhuandejingzhi,4
product,28
num10,47
geweiyushu,6
stdard,3
medium,18
74,60
nnn,19
Reverse,22
reminder,8
figure1,15
figure2,4
finalString,5
toten,3
tento,3
ii,590
sysf,5
exp,44
outf,4
decf,5
uup,3
arr,447
brr,22
numtemp,4
shu1,45
n_a,22
n_b,23
then,4
ex1,19
ex2,5
n_number,5
decdec,8
ans2,19
Len,75
zhuanhuan,26
num_1,55
num_2,27
char_a,18
char_b,6
convert_to10,3
convert_from10,3
before,135
after,38
fin,50
len0,13
num0,52
atoDec,2
Dec,13
decn,11
ston,3
ntos,4
exp1,3
exp2,3
huan2,3
tmp2,71
tmp3,25
convert_1,2
convert_2,2
convert,45
cf,58
s10,5
fzh,5
ib,70
PF,4
char_to_num,2
num_to_char,2
turntoten,2
turntob,2
ys,135
shu2,25
dest,4
expa,3
expb,5
zhsh,5
%d%c%s%c%d,1
ar,133
bn,180
pi,298
Get,3
%1d,2
other,11
another,16
jin1,5
jin2,6
shinumber,5
bwei,7
numshi,10
fc,39
mpow,2
CHR,7
deal,50
laed,2
xToTen,2
tenToYout,2
mult,20
bs1,4
lm,72
j1,670
j2,462
changdu,80
mo,98
save,63
transform,6
rebmun,1
number3,4
left_number,3
reserve,46
qr,57
convertor,6
shuzhi1,3
shuzhi2,5
toDec,2
ret,67
mul,34
conv,8
character1,15
character2,4
ah,42
jin,45
zhuanfu,1
wb,15
chf,2
up,192
chart,5
curr,56
preProcess,2
sOrig,4
sRes,3
nValue,9
101011001101011110110,1
M1A86,1
4BD2G,1
12201210221111112,1
ae,53
digit,84
n_10,17
con,47
chnum,54
resnum,30
convert1,2
convert2,2
sys2,4
oct,18
homo,4
sys1,3
lgth,4
numa,136
digit_a,5
numd,8
atob,2
tmp1,88
aft,12
shuz1,5
shuz2,4
93,11
strtmp,4
after1,6
1501,3
maxi,248
No,1018
%d%c,282
No\n,300
kai,13
gs,37
301,382
9000,40
paixu,336
gole,5
310,66
comp,112
qsort,588
find2nd,5
44,84
maxaaaa,3
minaaaa,3
65536,1
submax,56
sig,67
350,29
348,1
max_value,5
imax,126
305,211
tof,10
1600,11
1201,4
series,7
find_second,2
secondmax,66
comma,50
tr,99
fuhao,19
cmax,59
secmax,28
32767,28
chg,4
maxchg,3
sep,23
1200,16
ma1,9
ma2,10
ave,966
1505,2
%u\n,8
fir,80
sec_max,25
306,32
1800,7
rec,94
lower,9
349,2
maxj,156
\nNo,1
les,7
done,11
IsDigit,2
nmax,46
%c%d,60
167,2
161,2
81,415
129,4
mtemp,7
here,4
ary,32
EXIT_SUCCESS,18
selectionsort,2
maxn,220
poss,2
nextmax,12
1111,25
www,8
str2int,5
term,62
ff,81
largest,53
245,35
77,76
246,5
lim,33
cobra_loop,2
cvt,2
dip,3
Fir,4
Sec,5
mac,21
le,68
dd1,75
sma,16
next_max,6
big,134
99999,89
89999,1
ma,439
zuida,8
298,3
99990,2
88880,2
tempnum,14
px,149
mu,37
dot,203
checkNum,3
choose,47
1202,1
nexttomax,2
checkstr,5
tongji,11
rate,117
circle,32
terminalnum,9
fscan,3
lmax,60
32768,31
maopao,17
pow10,3
inline,16
cmx,9
firstBig,5
secBig,6
Invalid,504
numbet,1
negtive\n,1
cida,13
0000,28
0123456789,1
max_2,13
inf,131
365,1122
366,655
month,3678
%=,114
type,31
Mon,536
Tue,531
Wed,497
Thu,520
Fri,530
Sat,562
Sun,521
day,5796
day_year,2
day_month,10
week,195
%d%d%d,1221
yd,12
md,89
days,2087
1111111111,32
date,775
%ld%d%d,21
Year,57
Month,36
Day,38
Week,3
day1,654
firstday,13
weekday,52
151,269
181,297
212,291
243,265
273,290
304,264
334,284
2800,50
weekdays,23
36524,6
cntpingnian,3
cntyiqian,3
cntrunnian,4
cntthisyear,6
sumrun,1
%ld%ld%ld,10
jud,42
month1,1072
isRunNian,119
DiJiTian,108
mday,35
LpYr,3
yr,45
dayofwn,3
daysofm,2
dayofw,2
rui,11
Wen,23
runnian,119
121,203
tyear,3
Dijitian,16
152,179
182,181
213,200
244,195
274,181
335,186
wee,8
sumd,26
%lu%lu%lu,2
monthdays,16
allday,6
225,51
275,30
325,1
375,1
425,1
450,8
475,1
525,1
575,1
625,2
650,1
675,1
X1,41
X2,39
3200,17
86400,3
76,62
700000000,2
70000000,2
700000,2
70000,7
7000,4
nian,186
yue,158
ri,116
xq,65
error,60
mn,52
mont,23
1111100000,2
lunar,7
daysum,46
daynor,2
dayleap,4
dayofmonth,14
century,28
day_from_cen_begin,8
putout,24
cen,24
45,327
280,5
303,43
year_real,8
isRunnian,6
leapyear,43
sumyear,11
summonth,12
sumday,68
xingqiji,27
1e8,10
error\n,16
years,8
td,77
tian,624
days_of_month,4
leap_year_flag,4
days_of_past_years,2
days_in_current_year,4
total_days,2
tianshu,39
62,79
Tur,2
Ans,41
399,5
dayprint,4
200000,40
Wes,2
%16ld,2
ts,131
rnd,16
frnd,3
qt,36
Is_Runinian,3
700,19
printDigit,2
isleapyear,33
isrunnian,36
dijitian,67
ny,55
nm,98
pass,73
AC,11
seven,23
year2,508
month2,945
day2,621
totalday,13
1921,9
%s%d%d,67
cul,3
sta,85
total1,121
total2,114
total3,6
mth,32
day3,61
iday,11
imonth,7
iyear,7
yahr,7
monat,4
xingqi,49
172800,4
1728,1
number_of_leap_years,3
dayName,5
daysInMonth,2
inputYear,4
inputMonth,4
inputDay,4
totalDay,6
additionalDay,6
sumyearday,6
year1,572
2010,8
star,31
leap1,15
num100,10
judy,5
judm,2
xinqi,5
yunian,2
today,3
res1,2
res2,37
res3,2
ye,42
da,149
countdate,3
countyear,15
monthday,60
tempsum,14
dm,22
ytian,6
numofafter,3
numofleap,4
doublemonth,3
whichmonth,4
flagy,5
92,41
153,31
184,17
215,4
276,4
leapnum,5
short,80
%d%hd%hd,2
9876543,1
210000,1
146097,6
Thr,3
days2,103
days3,6
sy,496
leapYearBetween,4
leftDay,8
lys,4
normal_months,4
leap_months,4
week_days,2
is_leap,10
months,36
daysf,1
ryear,8
WeekDay,2
rizi,9
0l,1
feirun,24
CaculateWeekDay,2
iWeek,4
344,2
getMonthDay,2
????,1
y0,49
lp,55
wek,4
days1,91
4000000,1
400000000,1
40000000000,1
40002,1
14609700,1
402,4
89,66
119,13
180,277
211,10
242,34
272,5
333,10
montha,19
n_runnian,5
diyitian,3
pingnian,3
syear,77
mon1,437
mon2,292
88981,1
401,10
w400,4
w100,2
1461,9
djt,22
dsy,3
wk,19
rn,70
dn,40
rns,3
dayoftheyear,52
jan,59
feb,87
mar,50
apr,41
may,42
jun,71
jul,26
aug,21
nov,6
400000,5
146097000,1
dt,123
dy,165
FOURFUN,1
ONEFUN,1
TWEN,1
FOUR,1
ONE,1
l_y,3
l_y1,3
m_p,2
r_p,2
ak,29
isLeapYear,26
280000,2
leapn,4
pn,175
nianq,3
monthdayLeap,2
weekname,2
prt,20
yearday,7
daycount,11
temp0,9
getsu1,2
getsu,6
shuu,2
toshi,10
hi,44
36600000,1
36500000,1
yea,6
ry,24
RunNian,8
d3,50
xqj,26
totaldays,15
er,119
fun2,2
fun3,2
sum_mod_day,10
month_day_sum,5
214,27
61,343
mouth,42
Ping,6
hello,8
isrunyear,4
Runnian,4
%u%u%u,1
sum0,26
lunhun,3
CWD,2
sumy,6
summ,40
cycle,43
isr,4
yorn,3
yearleft,5
daytal,25
montable,2
none,10
60\n,95
br,106
63,217
fail,57
tem,419
pint,12
interuptCount,6
currentNum,3
lostTime,6
maxSeconds,5
pause,21
nt,12
sup,8
sz2,284
contine,5
cishu,106
standred,5
MORE,1
MIN,32
broke,16
jilu,32
nomean,2
time1,77
time2,70
T1,7
T2,9
badNum,3
badTotal,5
lastPlace,4
shen,17
tiao,17
jumps,2
xia,35
jump,81
cmc,7
cmc1,2
bro,9
47\n,1
dj,25
totaltime,5
chi,184
Total,44
Time,19
PNum,6
Stop,4
sumt,27
tiao1,47
zcs,5
wrong_mark,7
66,23
count0,36
counts,74
tiaohuai,16
bad,22
badnum,6
goodnum,6
breaktime,11
skip,15
33333,2
01,43
i0,99
score,1499
fake,7
mistake,3
broken,18
brokenjump,6
useless,4
icnt,5
pausecnt,5
trial,4
lost,28
shzu,7
stopskip,17
kMaxSeconds,5
interuptNum,3
lostNum,5
57\n,5
suspend,5
%D,1
leiji,9
population,6
duandian,5
badtimes,5
mis,15
brea,7
TimeUsed,5
Jumps,5
Jump,9
Fail,3
kids,48
Failure,4
FailTime,6
fail_n,5
breaknum,5
altogether,16
information,52
children,110
spe,6
miss,8
misspointer,4
237,2
zongshu,35
xpy,28
alltime,7
itime,4
mat1,9
broke_time,4
cut,66
Nxiaopengyou,3
Mtiaohuai,6
Leijicishu,8
shijian,24
tmpa,3
tmpb,5
%g\n,12
stu_num,31
stop_num,5
badall,5
sutdent,1
faulttimes,7
fault,6
timespace,6
rope,10
Number_children,1
Number,37
breaks,9
\n%d\n,26
f_num,21
duan,26
timess,8
timesPerMin,3
failedTimes,4
failed,4
bkt,6
beat,6
allmiss,5
all1,10
NumberOfChildren,3
NumberOfJump,1
SumOfTime,5
tiaosheng,3
failure,5
bre,10
Nchildren,3
Mstop,6
111,77
over,36
jieshu,16
sz1,333
iCase,3
tiaoHuai,8
leiJi,5
breaktimes,6
temptime,4
you,106
huai,8
bPoint,6
Lose,10
Times,10
Bad,6
qs,88
rs,56
nCases,6
wasteTime,5
cxia,4
timeCount,8
numCount,6
TimeNow,7
people,270
badjump,3
realtime,6
realjump,3
lum,3
kum,3
%d\n%d,335
%d\n%d\n,199
~,5
bubbleSort,4
qmax,68
32321,1
secondMax,14
selectionSort,2
fabs,808
%d\n%d\n%d\n,4
inde,8
%ld\n%ld\n,1
MAX_NUM,9
maxtemp,6
maxtemp2,5
